Interagency Committee on Women's Business Enterprise Act of 2018|115|Senate|Heidi Heitkamp(D) |Read twice and referred to the Committee on Small Business and Entrepreneurship.|2018-06-28|https://www.congress.gov/115/bills/s3165/BILLS-115s3165is.pdf
Better Pay and Lifetime Earnings for Teenage Girls through Adulthood Act|115|House|Brenda Lawrence(D) |Referred to the House Committee on Education and the Workforce.|2018-06-28|https://www.congress.gov/115/bills/hr6284/BILLS-115hr6284ih.pdf
To amend the Public Health Service Act to ensure appropriate care by certain 340B covered entities for victims of sexual assault, and for other purposes.|115|House|Mimi Walters(R) |Referred to the House Committee on Energy and Commerce.|2018-06-28|https://www.congress.gov/115/bills/hr6273/BILLS-115hr6273ih.pdf
"Hello Girls" Congressional Gold Medal Act of 2018|115|Senate|Jon Tester(D) |Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.|2018-06-26|https://www.congress.gov/115/bills/s3136/BILLS-115s3136is.pdf
Tulare Youth Recreation and Women's History Enhancement Act|115|House|Devin Nunes(R) |Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.|2018-06-26|https://www.congress.gov/115/bills/hr805/BILLS-115hr805rfs.pdf
Recognizing the accomplishments and the economic contributions of lesbian, gay, bisexual, and transgender (LGBT) entrepreneurs and small business owners.|115|House|Stephanie Murphy(D) |Referred to the House Committee on Energy and Commerce.|2018-06-26|https://www.congress.gov/115/bills/hres969/BILLS-115hres969ih.pdf
Expressing the sense of the House of Representatives in support of HIV pre-exposure prophylaxis research, education, and usage, and addressing the barriers to receiving this treatment, especially for communities of color, gay and bisexual men, and transgender people.|115|House|Bonnie Watson Coleman(D) |Referred to the House Committee on Energy and Commerce.|2018-06-25|https://www.congress.gov/115/bills/hres960/BILLS-115hres960ih.pdf
Patsy T. Mink and Louise M. Slaughter Gender Equity in Education Act of 2018|115|Senate|Mazie Hirono(D) |Read twice and referred to the Committee on Health, Education, Labor, and Pensions.|2018-06-21|https://www.congress.gov/115/bills/s3110/BILLS-115s3110is.pdf
Patsy T. Mink and Louise M. Slaughter Gender Equity in Education Act of 2018|115|House|Doris Matsui(D) |Referred to the House Committee on Education and the Workforce.|2018-06-21|https://www.congress.gov/115/bills/hr6184/BILLS-115hr6184ih.pdf
NEWBORN Act|115|House|Steve Cohen(D) |Referred to the House Committee on Energy and Commerce.|2018-06-21|https://www.congress.gov/115/bills/hr6174/BILLS-115hr6174ih.pdf
